Name,Code
Quận Ba Đình,001
Quận Hoàn Kiếm,002
Quận Tây Hồ,003
Quận Long Biên,004
Quận Cầu Giấy,005
Quận Đống Đa,006
Quận Hai Bà Trưng,007
Quận Hoàng Mai,008
Quận Thanh Xuân,009
Huyện Sóc Sơn,016
Huyện Đông Anh,017
Huyện Gia Lâm,018
Quận Nam Từ Liêm,019
Huyện Thanh Trì,020
Quận Bắc Từ Liêm,021
Huyện Mê Linh,250
Quận Hà Đông,268
Thị xã Sơn Tây,269
Huyện Ba Vì,271
Huyện Phúc Thọ,272
Huyện Đan Phượng,273
Huyện Hoài Đức,274
Huyện Quốc Oai,275
Huyện Thạch Thất,276
Huyện Chương Mỹ,277
Huyện Thanh Oai,278
Huyện Thường Tín,279
Huyện Phú Xuyên,280
Huyện Ứng Hòa,281
Huyện Mỹ Đức,282
Thành phố Hà Giang,024
Huyện Đồng Văn,026
Huyện Mèo Vạc,027
Huyện Yên Minh,028
Huyện Quản Bạ,029
Huyện Vị Xuyên,030
Huyện Bắc Mê,031
Huyện Hoàng Su Phì,032
Huyện Xín Mần,033
Huyện Bắc Quang,034
Huyện Quang Bình,035
Thành phố Cao Bằng,040
Huyện Bảo Lâm,042
Huyện Bảo Lạc,043
Huyện Thông Nông,044
Huyện Hà Quảng,045
Huyện Trà Lĩnh,046
Huyện Trùng Khánh,047
Huyện Hạ Lang,048
Huyện Quảng Uyên,049
Huyện Phục Hoà,050
Huyện Hoà An,051
Huyện Nguyên Bình,052
Huyện Thạch An,053
Thành Phố Bắc Kạn,058
Huyện Pác Nặm,060
Huyện Ba Bể,061
Huyện Ngân Sơn,062
Huyện Bạch Thông,063
Huyện Chợ Đồn,064
Huyện Chợ Mới,065
Huyện Na Rì,066
Thành phố Tuyên Quang,070
Huyện Lâm Bình,071
Huyện Na Hang,072
Huyện Chiêm Hóa,073
Huyện Hàm Yên,074
Huyện Yên Sơn,075
Huyện Sơn Dương,076
Thành phố Lào Cai,080
Huyện Bát Xát,082
Huyện Mường Khương,083
Huyện Si Ma Cai,084
Huyện Bắc Hà,085
Huyện Bảo Thắng,086
Huyện Bảo Yên,087
Huyện Sa Pa,088
Huyện Văn Bàn,089
Thành phố Điện Biên Phủ,094
Thị Xã Mường Lay,095
Huyện Mường Nhé,096
Huyện Mường Chà,097
Huyện Tủa Chùa,098
Huyện Tuần Giáo,099
Huyện Điện Biên,100
Huyện Điện Biên Đông,101
Huyện Mường Ảng,102
Huyện Nậm Pồ,103
Thành phố Lai Châu,105
Huyện Tam Đường,106
Huyện Mường Tè,107
Huyện Sìn Hồ,108
Huyện Phong Thổ,109
Huyện Than Uyên,110
Huyện Tân Uyên,111
Huyện Nậm Nhùn,112
Thành phố Sơn La,116
Huyện Quỳnh Nhai,118
Huyện Thuận Châu,119
Huyện Mường La,120
Huyện Bắc Yên,121
Huyện Phù Yên,122
Huyện Mộc Châu,123
Huyện Yên Châu,124
Huyện Mai Sơn,125
Huyện Sông Mã,126
Huyện Sốp Cộp,127
Huyện Vân Hồ,128
Thành phố Yên Bái,132
Thị xã Nghĩa Lộ,133
Huyện Lục Yên,135
Huyện Văn Yên,136
Huyện Mù Căng Chải,137
Huyện Trấn Yên,138
Huyện Trạm Tấu,139
Huyện Văn Chấn,140
Huyện Yên Bình,141
Thành phố Hòa Bình,148
Huyện Đà Bắc,150
Huyện Kỳ Sơn,151
Huyện Lương Sơn,152
Huyện Kim Bôi,153
Huyện Cao Phong,154
Huyện Tân Lạc,155
Huyện Mai Châu,156
Huyện Lạc Sơn,157
Huyện Yên Thủy,158
Huyện Lạc Thủy,159
Thành phố Thái Nguyên,164
Thành phố Sông Công,165
Huyện Định Hóa,167
Huyện Phú Lương,168
Huyện Đồng Hỷ,169
Huyện Võ Nhai,170
Huyện Đại Từ,171
Thị xã Phổ Yên,172
Huyện Phú Bình,173
Thành phố Lạng Sơn,178
Huyện Tràng Định,180
Huyện Bình Gia,181
Huyện Văn Lãng,182
Huyện Cao Lộc,183
Huyện Văn Quan,184
Huyện Bắc Sơn,185
Huyện Hữu Lũng,186
Huyện Chi Lăng,187
Huyện Lộc Bình,188
Huyện Đình Lập,189
Thành phố Hạ Long,193
Thành phố Móng Cái,194
Thành phố Cẩm Phả,195
Thành phố Uông Bí,196
Huyện Bình Liêu,198
Huyện Tiên Yên,199
Huyện Đầm Hà,200
Huyện Hải Hà,201
Huyện Ba Chẽ,202
Huyện Vân Đồn,203
Huyện Hoành Bồ,204
Thị xã Đông Triều,205
Thị xã Quảng Yên,206
Huyện Cô Tô,207
Thành phố Bắc Giang,213
Huyện Yên Thế,215
Huyện Tân Yên,216
Huyện Lạng Giang,217
Huyện Lục Nam,218
Huyện Lục Ngạn,219
Huyện Sơn Động,220
Huyện Yên Dũng,221
Huyện Việt Yên,222
Huyện Hiệp Hòa,223
Thành phố Việt Trì,227
Thị xã Phú Thọ,228
Huyện Đoan Hùng,230
Huyện Hạ Hoà,231
Huyện Thanh Ba,232
Huyện Phù Ninh,233
Huyện Yên Lập,234
Huyện Cẩm Khê,235
Huyện Tam Nông,236
Huyện Lâm Thao,237
Huyện Thanh Sơn,238
Huyện Thanh Thuỷ,239
Huyện Tân Sơn,240
Thành phố Vĩnh Yên,243
Thị xã Phúc Yên,244
Huyện Lập Thạch,246
Huyện Tam Dương,247
Huyện Tam Đảo,248
Huyện Bình Xuyên,249
Huyện Yên Lạc,251
Huyện Vĩnh Tường,252
Huyện Sông Lô,253
Thành phố Bắc Ninh,256
Huyện Yên Phong,258
Huyện Quế Võ,259
Huyện Tiên Du,260
Thị xã Từ Sơn,261
Huyện Thuận Thành,262
Huyện Gia Bình,263
Huyện Lương Tài,264
Thành phố Hải Dương,288
Thị xã Chí Linh,290
Huyện Nam Sách,291
Huyện Kinh Môn,292
Huyện Kim Thành,293
Huyện Thanh Hà,294
Huyện Cẩm Giàng,295
Huyện Bình Giang,296
Huyện Gia Lộc,297
