Name,Code
Phường Phúc Xá,00001
Phường Trúc Bạch,00004
Phường Vĩnh Phúc,00006
Phường Cống Vị,00007
Phường Liễu Giai,00008
Phường Nguyễn Trung Trực,00010
Phường Quán Thánh,00013
Phường Ngọc Hà,00016
Phường Điện Biên,00019
Phường Đội Cấn,00022
Phường Ngọc Khánh,00025
Phường Kim Mã,00028
Phường Giảng Võ,00031
Phường Thành Công,00034
Phường Phúc Tân,00037
Phường Đồng Xuân,00040
Phường Hàng Mã,00043
Phường Hàng Buồm,00046
Phường Hàng Đào,00049
Phường Hàng Bồ,00052
Phường Cửa Đông,00055
Phường Lý Thái Tổ,00058
Phường Hàng Bạc,00061
Phường Hàng Gai,00064
Phường Chương Dương,00067
Phường Hàng Trống,00070
Phường Cửa Nam,00073
Phường Hàng Bông,00076
Phường Tràng Tiền,00079
Phường Trần Hưng Đạo,00082
Phường Phan Chu Trinh,00085
Phường Hàng Bài,00088
Phường Phú Thượng,00091
Phường Nhật Tân,00094
Phường Tứ Liên,00097
Phường Quảng An,00100
Phường Xuân La,00103
Phường Yên Phụ,00106
Phường Bưởi,00109
Phường Thụy Khuê,00112
Phường Thượng Thanh,00115
Phường Ngọc Thụy,00118
Phường Giang Biên,00121
Phường Đức Giang,00124
Phường Việt Hưng,00127
Phường Gia Thụy,00130
Phường Ngọc Lâm,00133
Phường Phúc Lợi,00136
Phường Bồ Đề,00139
Phường Sài Đồng,00142
Phường Long Biên,00145
Phường Thạch Bàn,00148
Phường Phúc Đồng,00151
Phường Cự Khối,00154
Phường Nghĩa Đô,00157
Phường Nghĩa Tân,00160
Phường Mai Dịch,00163
Phường Dịch Vọng,00166
Phường Dịch Vọng Hậu,00167
Phường Quan Hoa,00169
Phường Yên Hoà,00172
Phường Trung Hoà,00175
Phường Cát Linh,00178
Phường Văn Miếu,00181
Phường Quốc Tử Giám,00184
Phường Láng Thượng,00187
Phường Ô Chợ Dừa,00190
Phường Văn Chương,00193
Phường Hàng Bột,00196
Phường Láng Hạ,00199
Phường Khâm Thiên,00202
Phường Thổ Quan,00205
Phường Nam Đồng,00208
Phường Trung Phụng,00211
Phường Quang Trung,00214
Phường Trung Liệt,00217
Phường Phương Liên,00220
Phường Thịnh Quang,00223
Phường Trung Tự,00226
Phường Kim Liên,00229
Phường Phương Mai,00232
Phường Ngã Tư Sở,00235
Phường Khương Thượng,00238
Phường Nguyễn Du,00241
Phường Bạch Đằng,00244
Phường Phạm Đình Hổ,00247
Phường Bùi Thị Xuân,00250
Phường Ngô Thì Nhậm,00253
Phường Lê Đại Hành,00256
Phường Đồng Nhân,00259
Phường Phố Huế,00262
Phường Đống Mác,00265
Phường Thanh Lương,00268
Phường Thanh Nhàn,00271
Phường Cầu Dền,00274
Phường Bách Khoa,00277
Phường Đồng Tâm,00280
Phường Vĩnh Tuy,00283
Phường Bạch Mai,00286
Phường Quỳnh Mai,00289
Phường Quỳnh Lôi,00292
Phường Minh Khai,00295
Phường Trương Định,00298
Phường Thanh Trì,00301
Phường Vĩnh Hưng,00304
Phường Định Công,00307
Phường Mai Động,00310
Phường Tương Mai,00313
Phường Đại Kim,00316
Phường Tân Mai,00319
Phường Hoàng Văn Thụ,00322
Phường Giáp Bát,00325
Phường Lĩnh Nam,00328
Phường Thịnh Liệt,00331
Phường Trần Phú,00334
Phường Hoàng Liệt,00337
Phường Yên Sở,00340
Phường Nhân Chính,00343
Phường Thượng Đình,00346
Phường Khương Trung,00349
Phường Khương Mai,00352
Phường Thanh Xuân Trung,00355
Phường Phương Liệt,00358
Phường Hạ Đình,00361
Phường Khương Đình,00364
Phường Thanh Xuân Bắc,00367
Phường Thanh Xuân Nam,00370
Phường Kim Giang,00373
Thị trấn Sóc Sơn,00376
Xã Bắc Sơn,00379
Xã Minh Trí,00382
Xã Hồng Kỳ,00385
Xã Nam Sơn,00388
Xã Trung Giã,00391
Xã Tân Hưng,00394
Xã Minh Phú,00397
Xã Phù Linh,00400
Xã Bắc Phú,00403
Xã Tân Minh,00406
Xã Quang Tiến,00409
Xã Hiền Ninh,00412
Xã Tân Dân,00415
Xã Tiên Dược,00418
Xã Việt Long,00421
Xã Xuân Giang,00424
Xã Mai Đình,00427
Xã Đức Hoà,00430
Xã Thanh Xuân,00433
Xã Đông Xuân,00436
Xã Kim Lũ,00439
Xã Phú Cường,00442
Xã Phú Minh,00445
Xã Phù Lỗ,00448
Xã Xuân Thu,00451
Thị trấn Đông Anh,00454
Xã Xuân Nộn,00457
Xã Thuỵ Lâm,00460
Xã Bắc Hồng,00463
Xã Nguyên Khê,00466
Xã Nam Hồng,00469
Xã Tiên Dương,00472
Xã Vân Hà,00475
Xã Uy Nỗ,00478
Xã Vân Nội,00481
Xã Liên Hà,00484
Xã Việt Hùng,00487
Xã Kim Nỗ,00490
Xã Kim Chung,00493
Xã Dục Tú,00496
Xã Đại Mạch,00499
Xã Vĩnh Ngọc,00502
Xã Cổ Loa,00505
Xã Hải Bối,00508
Xã Xuân Canh,00511
Xã Võng La,00514
Xã Tàm Xá,00517
Xã Mai Lâm,00520
Xã Đông Hội,00523
Thị trấn Yên Viên,00526
Xã Yên Thường,00529
Xã Yên Viên,00532
Xã Ninh Hiệp,00535
Xã Đình Xuyên,00538
Xã Dương Hà,00541
Xã Phù Đổng,00544
Xã Trung Mầu,00547
Xã Lệ Chi,00550
Xã Cổ Bi,00553
Xã Đặng Xá,00556
Xã Phú Thị,00559
Xã Kim Sơn,00562
Thị trấn Trâu Quỳ,00565
Xã Dương Quang,00568
Xã Dương Xá,00571
Xã Đông Dư,00574
Xã Đa Tốn,00577
Xã Kiêu Kỵ,00580
Xã Bát Tràng,00583
Xã Kim Lan,00586
Xã Văn Đức,00589
Phường Cầu Diễn,00592
Phường Xuân Phương,00622
Phường Phương Canh,00623
Phường Mỹ Đình 1,00625
Phường Mỹ Đình 2,00626
Phường Tây Mỗ,00628
Phường Mễ Trì,00631
Phường Phú Đô,00632
Phường Đại Mỗ,00634
Phường Trung Văn,00637
Thị trấn Văn Điển,00640
Xã Tân Triều,00643
Xã Thanh Liệt,00646
Xã Tả Thanh Oai,00649
Xã Hữu Hoà,00652
Xã Tam Hiệp,00655
